id,name,bounty,crew,fruit,status,occupation,emperor
545,Kokoro,0,Water Seven,Não tem,living,Outro,Não
546,Chimney,0,Water Seven,Não tem,living,Outro,Não
547,Gonbei,0,Water Seven,Não tem,living,Outro,Não
548,Yokozuma,0,Water Seven,Não tem,living,Outro,Não
549,Silvers Rayleigh,0,Archipel des Sabaody,Não tem,living,Outro,Não
550,Shakuyaku,0,Archipel des Sabaody,Não tem,living,Outro,Não
551,Disco,0,Archipel des Sabaody,Não tem,living,Outro,Não
552,Duval,0,Archipel des Sabaody,Não tem,living,Outro,Não
553,Héraclès,0,Archipel de Boing,Não tem,living,Outro,Não
554,Loki,0,Erbaf,Não tem,living,Outro,Não
555,Jorl,0,Erbaf,Não tem,Morto,Outro,Não
556,Jarl,0,Erbaf,Não tem,living,Outro,Não
557,Oimo,0,Erbaf,Não tem,living,Outro,Não
558,Kaashii,0,Erbaf,Não tem,living,Outro,Não
559,Sukiyaki Kozuki,0,Pays des Wa,Não tem,living,Outro,Não
560,Oden Kozuki,0,Pays des Wa,Não tem,Morto,Outro,Não
561,Toki Kozuki,0,Pays des Wa,Fruit of Time,Morto,Outro,Não
562,Mononosuké Kozuki,0,Pays des Wa, Artificial demon fruit from Vegapunk,living,Outro,Não
563,Hiyori Kozuki,0,Pays des Wa,Não tem,living,Outro,Não
564,Kinémon,0,Pays des Wa,Fruit of the Garment,living,Outro,Não
565,Denjiro,0,Pays des Wa,Não tem,living,Outro,Não
566,Izo,510000000,Pays des Wa,Não tem,Morto,Outro,Não
567,Kikunojo,0,Pays des Wa,Não tem,living,Outro,Não
568,Raizo,0,Pays des Wa,Não tem,living,Outro,Não
569,Ashura Doji,0,Pays des Wa,Não tem,Morto,Outro,Não
570,Kawamatsu,0,Pays des Wa,Não tem,living,Outro,Não
571,Shinobu,0,Pays des Wa,Fruit of Maturation,living,Outro,Não
572,Orochi Kurozumi,0,Pays des Wa,"Fruit of the Reptile, eight-headed dragon version",Morto,Outro,Não
573,Kanjuro Kurozumi,0,Pays des Wa,Fruit of the Brush,living,Outro,Não
574,Semimaru Kurozumi,0,Pays des Wa,Fruit of the Barrier,Morto,Outro,Não
575,Higurashi Kurozumi,0,Pays des Wa,Travesti-Fruit,Morto,Outro,Não
576,Ryuma Shimotsuki,0,Pays des Wa,Não tem,Morto,Outro,Não
577,Yasui Shimotsuki,0,Pays des Wa,Não tem,Morto,Outro,Não
578,Toko,0,Pays des Wa,Não tem,Morto,Outro,Não
579,Onimaru,0,Pays des Wa,"Fruit of the Human, Onyudo version",living,Outro,Não
580,Hyogoro,0,Pays des Wa,Não tem,living,Outro,Não
581,Omasa,0,Pays des Wa,Não tem,living,Outro,Não
582,Tsunagoro,0,Pays des Wa,Não tem,living,Outro,Não
583,Cho,0,Pays des Wa,Não tem,living,Outro,Não
584,Yatappé,0,Pays des Wa,Não tem,living,Outro,Não
585,Tama,0,Pays des Wa,Millet fruit,living,Outro,Não
586,Tsurujo,0,Pays des Wa,Não tem,living,Outro,Não
587,Komachiyo,0,Pays des Wa,Não tem,living,Outro,Não
588,Baboumaru,0,Pays des Wa,Não tem,living,Outro,Não
589,Bunbuku,0,Pays des Wa,"Canid Fruit, Tanuki version",living,Outro,Não
590,Yamato,0,Pays des Wa,"Fruit of the Canid, Divine Wolf version",living,Outro,Não
591,Rock,20000000,Punk Hazard,Não tem,living,Outro,Não
592,Scotch,20000000,Punk Hazard,Não tem,living,Outro,Não
593,Smiley,0,Punk Hazard,"Fruit of the Salamander, Axolotl version",Morto,Outro,Não
594,Riku Dold III,0,Dressrosa,Não tem,living,Outro,Não
595,Scarlett,0,Dressrosa,Não tem,Morto,Outro,Não
596,Kyros,0,Dressrosa,Não tem,living,Outro,Não
597,Viola,0,Dressrosa,Fruit of the Eye,living,Outro,Não
598,Rebecca,0,Dressrosa,Não tem,living,Outro,Não
599,Gatz,0,Dressrosa,Não tem,living,Outro,Não
600,Tank Lepanto,0,Dressrosa,Não tem,living,Outro,Não
601,Guncho,0,Green Bit,Não tem,living,Outro,Não
602,Manshelly,0,Green Bit,Fruit of Healing,living,Outro,Não
603,Zunesh,0,Zo,Não tem,living,Outro,Não
604,Bêgis Khan,0,Zo,Não tem,living,Outro,Não
605,Caborage,0,Zo,Não tem,living,Outro,Não
606,Chavipère,0,Zo,Não tem,living,Outro,Não
607,Sicilion,0,Zo,Não tem,living,Outro,Não
608,Cancelot,0,Zo,Não tem,living,Outro,Não
609,Giovanni,0,Zo,Não tem,living,Outro,Não
610,Wanda,0,Zo,Não tem,living,Outro,Não
611,Carrot,0,Zo,Não tem,living,Outro,Não
612,Pedro,0,Zo,Não tem,Morto,Outro,Não
613,Elizabello II,0,Royaume de Prodence,Não tem,living,Outro,Não
614,Dagama,0,Royaume de Prodence,Não tem,living,Outro,Não
615,Kelly Funk,57000000,Royaume de Mogalo,Fruit de la Pelisse,living,Outro,Não
616,Bobby Funk,36000000,Royaume de Mogalo,Não tem,living,Outro,Não
617,Judge Vinsmoke,0,Royaume de Germa,Não tem,living,Outro,Não
618,Sora Vinsmoke,0,Royaume de Germa,Não tem,Morto,Outro,Não
619,Reiju Vinsmoke,0,Royaume de Germa,Não tem,living,Outro,Não
620,Ichiji Vinsmoke,0,Royaume de Germa,Não tem,living,Outro,Não
621,Niji Vinsmoke,0,Royaume de Germa,Não tem,living,Outro,Não
622,Yonji Vinsmoke,0,Royaume de Germa,Não tem,living,Outro,Não
623,Marco,1374000000,Sphinx,Phoenix Fruit,living,Outro,Não
624,Gan Forr,0,Skypiea,Não tem,living,Outro,Não
625,Pierre,0,Skypiea,Horse Fruit,living,Outro,Não
626,Conis,0,Skypiea,Não tem,living,Outro,Não
627,Pagaya,0,Skypiea,Não tem,living,Outro,Não
628,Amazon,0,Skypiea,Não tem,living,Outro,Não
629,Chef Shandia,0,Skypiea,Não tem,living,Outro,Não
630,Wiper,0,Skypiea,Não tem,living,Outro,Não
631,Kamakiri,0,Skypiea,Não tem,living,Outro,Não
632,Braham,0,Skypiea,Não tem,living,Outro,Não
633,Genbo,0,Skypiea,Não tem,living,Outro,Não
634,Laki,0,Skypiea,Não tem,living,Outro,Não
635,Aisa,0,Skypiea,Não tem,living,Outro,Não
636,Nora,0,Skypiea,Não tem,living,Outro,Não
637,Calgara,0,Skypiea,Não tem,Morto,Outro,Não
638,Om,0,Skypiea,Não tem,living,Outro,Não
639,Satori,0,Skypiea,Não tem,living,Outro,Não
640,Shura,0,Skypiea,Não tem,living,Outro,Não
641,Yama,0,Skypiea,Não tem,living,Outro,Não
642,Hotori,0,Skypiea,Não tem,living,Outro,Não
643,Kotori,0,Skypiea,Não tem,living,Outro,Não
644,Haredas,0,Weatheria,Não tem,living,Outro,Não
645,Neptune,0,Île des hommes-poissons,Não tem,living,Outro,Não
646,Otohime,0,Île des hommes-poissons,Não tem,Morto,Outro,Não
647,Fukaboshi,0,Île des hommes-poissons,Não tem,living,Outro,Não
648,Ryuboshi,0,Île des hommes-poissons,Não tem,living,Outro,Não
649,Mamboshi,0,Île des hommes-poissons,Não tem,living,Outro,Não
650,Shirahoshi,0,Île des hommes-poissons,Não tem,living,Outro,Não
651,Hoé,0,Île des hommes-poissons,Não tem,living,Outro,Não
652,Mégalo,0,Île des hommes-poissons,Não tem,living,Outro,Não
653,Ministre Sénestre,0,Île des hommes-poissons,Não tem,living,Outro,Não
654,Ministre Dextre,0,Île des hommes-poissons,Não tem,living,Outro,Não
655,Shyarly,0,Île des hommes-poissons,Não tem,living,Outro,Não
656,Keimi,0,Île des hommes-poissons,Não tem,living,Outro,Não
657,Pappag,0,Île des hommes-poissons,Não tem,living,Outro,Não
658,Octy,8000000,Île des hommes-poissons,Não tem,living,Outro,Não
659,Den,0,Île des hommes-poissons,Não tem,living,Outro,Não
660,Ener,0,La lune,Fulguro-Fruit,living,Outro,Não
661,Monkey D. Dragon,0,Armée Révolutionnaire,Não tem,living,Outro,Não
662,Sabo,602000000,Armée Révolutionnaire,Pyro-Fruit,living,Outro,Não
663,Emporio Ivankov,100000000,Armée Révolutionnaire,Fruit of Hormones,living,Outro,Não
664,Corbeau,400000000,Armée Révolutionnaire,Não tem,living,Outro,Não
665,Belo Betty,457000000,Armée Révolutionnaire,Fruit of Exaltation,living,Outro,Não
666,Morley,293000000,Armée Révolutionnaire,Fruit of the Pousse-Pousse,living,Outro,Não
667,Lindbergh,316000000,Armée Révolutionnaire,Não tem,living,Outro,Não
668,Inazuma,100000000,Armée Révolutionnaire,Fruit of the Scissors,living,Outro,Não
669,Canard,0,Armée Révolutionnaire,Não tem,living,Outro,Não
670,Koala,0,Armée Révolutionnaire,Não tem,living,Outro,Não
671,Hack,0,Armée Révolutionnaire,Não tem,living,Outro,Não
672,Zala,35000000,Anciens membres du Baroque Works,Sea Urchin Fruit,living,Outro,Não
673,Bentham,32000000,Anciens membres du Baroque Works,Travesti-Fruit,living,Outro,Não
674,Marianne,29000000,Anciens membres du Baroque Works,Não tem,living,Outro,Não
675,Babe,3200000,Anciens membres du Baroque Works,Não tem,living,Outro,Não
676,Lassou,0,Anciens membres du Baroque Works,"Fruit of the Canid, Basset version",living,Outro,Não
677,Drophy,14000000,Anciens membres du Baroque Works,Digging Fruit,living,Outro,Não
678,Gemme,10000000,Anciens membres du Baroque Works,Fruit Boum-Boum,living,Outro,Não
679,Mikita,7500000,Anciens membres du Baroque Works,Kilo-Kilo Fruit,living,Outro,Não
680,Jabura,0,Anciens membres du Cipher Pol,"Fruit of the Canid, Wolf version",living,Outro,Não
681,Blueno,0,Anciens membres du Cipher Pol,Fruit of the Porter,living,Outro,Não
682,Kumadori,0,Anciens membres du Cipher Pol,Não tem,living,Outro,Não
683,Fukuro,0,Anciens membres du Cipher Pol,Não tem,living,Outro,Não
684,Kalifa,0,Anciens membres du Cipher Pol,Fruit des Bulles,living,Outro,Não
685,Nero,0,Anciens membres du Cipher Pol,Não tem,living,Outro,Não
686,Spandine,0,Anciens membres du Cipher Pol,Não tem,living,Outro,Não
687,Kuzan / Aokiji,0,Anciens membres de la Marine,Frost Fruit,living,Outro,Não
688,Morgan,0,Anciens membres de la Marine,Não tem,living,Outro,Não
689,Bellamy,195000000,Don Quixote's crew,Fruit of the Spring,living,Outro,Não
690,Bartholomew Kuma,296000000,Esclave,Fruit of the Pads,living,Outro,Não
691,César Clown,300000000,Punk Hazard,Fruit of the Gas,living,Outro,Não
692,Morgans,0,World Economic Journal,"Fruit du Volatile, Albatross version",living,Outro,Não
693,El Gorago,10000000,Sem tripulação,Fruit of the Vocalise,living,Outro,Não
694,Golass,8000000,Sem tripulação,Não tem,living,Outro,Não
695,Tobio,0,Sem tripulação,Não tem,living,Outro,Não
696,Ganzo,0,Sem tripulação,Não tem,living,Outro,Não
697,Woonan,60000000,Sem tripulação,Não tem,Morto,Outro,Não
698,Bear King,11600000,The Trump Pirates crew,Unbreakable Fruit,living,Outro,Não
699,Honey Queen,7800000,The Trump Pirates crew,Fruit of Dissolution,living,Outro,Não
700,Pin Joker,9900000,The Trump Pirates crew,Não tem,living,Outro,Não
701,Boo Jack,3200000,The Trump Pirates crew,Não tem,living,Outro,Não
702,Skunk One,6000000,The Trump Pirates crew,Não tem,living,Outro,Não
703,Borodo,0,Frères Voleurs,Não tem,living,Outro,Não
704,Akisu,0,Frères Voleurs,Não tem,living,Outro,Não
705,Bulter,14900000,Sem tripulação,Não tem,living,Outro,Não
706,Hotdog,4000000,Sem tripulação,Não tem,living,Outro,Não
707,Mobambi,0,Sem tripulação,Não tem,living,Outro,Não
708,Heaby,4200000,Sem tripulação,Não tem,living,Outro,Não
709,Général Gasparde,95000000,Gasparde's crew,Candy Fruit,living,Outro,Não
710,Needless,57000000,Gasparde's crew,Não tem,living,Outro,Não
711,Biera,0,Gasparde's crew,Não tem,living,Outro,Não
712,Shuraiya Bascùd,0,Gasparde's crew,Não tem,living,Outro,Não
713,Adelle Bascùd,0,Gasparde's crew,Não tem,living,Outro,Não
714,Saga,0,Île d'Asuka,Não tem,living,Outro,Não
715,Toma,0,Île d'Asuka,Não tem,living,Outro,Não
716,Bismarck,0,Île d'Asuka,Não tem,living,Outro,Não
717,Boo Kong,0,Île d'Asuka,Não tem,living,Outro,Não
718,Maya,0,Île d'Asuka,Não tem,living,Outro,Não
719,Izaya,0,Île d'Asuka,Não tem,living,Outro,Não
720,Lacos,0,Île d'Asuka,Não tem,living,Outro,Não
721,Omatsuri,0,Pirate des flèches rouges,Não tem,Morto,Outro,Não
722,Lily Carnation,0,Pirate des flèches rouges,Não tem,Morto,Outro,Não
723,Papa,0,Pirate au foyer,Não tem,unknown,Outro,Não
724,Brief,0,Pirate Moustachus,Não tem,unknown,Outro,Não
725,Ratchet,0,Île de Mecha,Não tem,living,Outro,Não
726,Honki,0,Île de Mecha,Não tem,living,Outro,Não
727,Maji,0,Île de Mecha,Não tem,living,Outro,Não
728,Roba,0,Île de Mecha,Não tem,living,Outro,Não
729,Musshul,0,Royaume maléfique de Black Drum,Chamquipue fruit,living,Outro,Não
730,Scarlett,0,The crew of the Lion d'Or,Não tem,living,Outro,Não
731,Billy,0,The crew of the Lion d'Or,Não tem,living,Outro,Não
732,Xiao,0,The crew of the Lion d'Or,Não tem,living,Outro,Não
733,Schneider,0,The Schneider Pirates crew,Não tem,living,Outro,Não
734,Buzz,0,The Schneider Pirates crew,"Fruit of the Volatile, Eagle version",living,Outro,Não
735,Zéphyr,0,Néo Marine,Não tem,Morto,Outro,Não
736,Ain,0,Néo Marine,Fruit Jeune-Jeune,living,Outro,Não
737,Bins,0,Néo Marine,Fluffy Fruit,living,Outro,Não
738,Gild Tesoro,0,Gran Tesero,Fruit of Gold,living,Outro,Não
739,Baccarat,0,Gran Tesero,Fruit of Luck,living,Outro,Não
740,Dice,0,Gran Tesero,Não tem,living,Outro,Não
741,Tanaka,0,Gran Tesero,Passe-Muraille fruit,living,Outro,Não
742,Carina,0,Gran Tesero,Não tem,living,Outro,Não
743,Douglas Bullet,0,Sem tripulação,Fruit de la Ferraille,living,Outro,Não
744,Buena Festa,0,Sem tripulação,Não tem,living,Outro,Não
745,Ann,0,Sem tripulação,Fruit of Vision,living,Outro,Não
746,Donald Moderate,0,Sem tripulação,Não tem,living,Outro,Não
747,Uta,0,Elegia,Não tem,living,Outro,Não
748,Gordon,0,Elegia,Não tem,living,Outro,Não
749,Tenguyama Hitetsu,0,Pays des Wa,Não tem,living,Outro,Não
750,Gion,0,Sem tripulação,Não tem,living,Outro,Não
751,Musshuru,0,Sem tripulação,Chamquipue fruit,living,Outro,Não
752,Apis,0,Sem tripulação,Não tem,living,Outro,Não
753,Bokuden,0,Sem tripulação,Não tem,living,Outro,Não
754,Orlombus,148000000,Fleet Yonta Maria,Não tem,living,Outro,Não
755,Macro,0,L'Équipage des Maquereaux,Não tem,living,Outro,Não
756,Pudding Pudding,0,Marine,Não tem,Morto,Outro,Não
757,Pandaman,0,Sem tripulação,Não tem,unknown,Outro,Não
758,Zenny,0,Sem tripulação,Não tem,living,Outro,Não
759,Wetton,14800000,Sem tripulação,Não tem,Morto,Outro,Não
760,Bigalo,14900000,Equipage de Bigalo,Não tem,Desconhecido,Outro,Não
761,Végapunk,0,Sem tripulação,Fruit du Ciboulot,living,Outro,Não
762,Stronger,0,Blackbeard's crew,"Horse fruit, Pegasus model",living,Outro,Não
763,Punk 01 - Shaka,0,Sem tripulação,Não tem,unknown,Outro,Não
764,Punk 02 - Lilith,0,Sem tripulação,Não tem,living,Outro,Não
765,Punk 03 - Edison,0,Sem tripulação,Não tem,living,Outro,Não
766,Punk 04 - Pythagoras,0,Sem tripulação,Não tem,living,Outro,Não
767,Punk 05 - Atlas,0,Sem tripulação,Não tem,living,Outro,Não
768,Punk 06 - York,0,Sem tripulação,Não tem,living,Outro,Não
769,S-Snake,0,Sem tripulação,Passion fruit,living,Outro,Não
770,S-Hawk,0,Sem tripulação,Slashing Fruit,living,Outro,Não
771,S-Bear,0,Sem tripulação,Fruit of the Pads,living,Outro,Não
772,S-Shark,0,Sem tripulação,Fruit of the Barbotage,living,Outro,Não
773,Karazu,0,Armée Révolutionnaire,Não tem,living,Outro,Não
1,Monkey D Luffy,3000000000,The Chapeau de Paille crew,Gum-Gum Fruit,Vivo,Outro,Não
2,Roronoa Zoro,320000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
3,Nami,66000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
4,Usopp,200000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
5,Sanji,330000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
6,Tony-Tony Chopper,100,The Chapeau de Paille crew,Fruit of the Human,living,Outro,Não
7,Nico Robin,130000000,The Chapeau de Paille crew,Fruit Des Éclosions,living,Outro,Não
8,Franky,94000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
9,Brook,83000000,The Chapeau de Paille crew,Fruit of the Resurrection,living,Outro,Não
10,Jinbe,438000000,The Chapeau de Paille crew,Não tem,living,Outro,Não
11,Zeus,0,The Chapeau de Paille crew,Não tem,living,Outro,Não
12,Cavendish,330000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
13,Suleiman,670000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
14,Bartolomeo,200000000,Armarda du Chapeau de Paille,Fruit of the Barrier,living,Outro,Não
15,Gambia,670000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
16,Sai,210000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
17,Boo,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
18,Baby 5,0,Armarda du Chapeau de Paille,Armo-Fruit,living,Outro,Não
19,Ideo,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
20,Blue Gilly,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
21,Abdullah,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
22,Jeet,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
23,Léo,0,Armarda du Chapeau de Paille,Fruit de la Couture,living,Outro,Não
24,Kabu,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Scarab-Rhinoceros version",living,Outro,Não
25,Bee Anne,0,Armarda du Chapeau de Paille,"Fruit of the Insect, Wasp version",living,Outro,Não
26,Hajrudin,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
27,Stansen,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
28,Road,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
29,Goldberg,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
30,Gerd,0,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
31,Orlumbus,148000000,Armarda du Chapeau de Paille,Não tem,living,Outro,Não
32,Baggy / Le Clown,150000000,Baggy's Delivery,Fruit of Fragmentation,living,Outro,Não
33,Alvida,5000000,Baggy's Delivery,Fruit Glisse-Glisse,living,Outro,Não
34,Galdino,24000000,Baggy's Delivery,Ciro-Fruit,living,Outro,Não
35,Morge,0,Baggy's Delivery,Não tem,living,Outro,Não
36,Cabaji,0,Baggy's Delivery,Não tem,living,Outro,Não
37,Kuro,16000000,The Black Cat crew,Não tem,living,Outro,Não
38,Sham,7000000,The Black Cat crew,Não tem,living,Outro,Não
39,Buchi,7000000,The Black Cat crew,Não tem,living,Outro,Não
40,Krieg / Don Krieg,17000000,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
41,Gyn,12000000,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
42,Pearl,0,Don Krieg's Pirate Armada,Não tem,living,Outro,Não
43,Montblanc Cricket,25000000,Primate League,Não tem,living,Outro,Não
44,Masira,23000000,Primate League,Não tem,living,Outro,Não
45,Shojo,36000000,Primate League,Não tem,living,Outro,Não
46,Foxy,24000000,The Foxy crew,Ramollo fruit,living,Outro,Não
47,Porché,0,The Foxy crew,Não tem,living,Outro,Não
48,Hamburg,0,The Foxy crew,Não tem,living,Outro,Não
49,Gecko Moria,320000000,Thriller Bark,Fruit of the Shadow,living,Outro,Não
50,Hogback,0,Thriller Bark,Não tem,living,Outro,Não
51,Absalom,0,Thriller Bark,Fruit of Invisibility,Morto,Outro,Não
52,Perona,0,Thriller Bark,Fruit of Ectoplasm,living,Outro,Não
53,Laura,24000000,The crew of the Rolling,Não tem,living,Outro,Não
54,Trafalgar D. Water Law,500000000,The Hearth crew,Fruit of the Scalpel,living,Outro,Não
55,Bepo,500,The Hearth crew,Não tem,living,Outro,Não
56,Jean Bart,0,The Hearth crew,Não tem,living,Outro,Não
57,Shachi,0,The Hearth crew,Não tem,living,Outro,Não
58,Pingouin,0,The Hearth crew,Não tem,living,Outro,Não
59,Eustass Kidd,470000000,The Kid crew,Magnéto-Fruit,living,Outro,Não
60,Killer,200000000,The Kid crew,Não tem,living,Outro,Não
61,Heat,0,The Kid crew,Não tem,living,Outro,Não
62,Wire,0,The Kid crew,Não tem,living,Outro,Não
63,Capone Bege,350000000,The Fire Tank crew,Fruit du Château,living,Outro,Não
64,Vito,95000000,The Fire Tank crew,Não tem,living,Outro,Não
65,Gotti,90000000,The Fire Tank crew,Não tem,living,Outro,Não
66,Charlotte Chiffon,0,The Fire Tank crew,Não tem,living,Outro,Não
67,Charlotte Pets,0,The Fire Tank crew,Não tem,living,Outro,Não
68,Jewelry Bonney,140000000,The Fire Tank crew,Não tem,living,Outro,Não
69,Urouge,108000000,The crew of Les Moines Dépravés,Não tem,living,Outro,Não
70,Boa Hancock,80000000,The Kuja Pirates crew,Passion fruit,living,Outro,Não
71,Boa Sandersonia,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Anaconda version",living,Outro,Não
72,Boa Marigold,40000000,The Kuja Pirates crew,"Fruit of the Reptile, Cobra Royal version",living,Outro,Não
73,Margaret,0,The Kuja Pirates crew,Não tem,living,Outro,Não
74,Shiki,0,The crew of the Lion d'Or,Floating Fruit,living,Outro,Não
75,Indigo,0,The crew of the Lion d'Or,Não tem,living,Outro,Não
76,Caribou,210000000,The Caribou crew,Fruit du Marais,living,Outro,Não
77,Coribou,190000000,The Caribou crew,Não tem,living,Outro,Não
78,Ficher Tiger,230000000,The Sun Pirates crew,Não tem,Morto,Outro,Não
79,Aladdin,0,The Sun Pirates crew,Não tem,living,Outro,Não
80,Charlotte Praliné,0,The Sun Pirates crew,Não tem,living,Outro,Não
81,Dracule Mihawk,0,Sem tripulação,Não tem,living,Outro,Não
82,Crocodile,81000000,Sem tripulação,Não tem,living,Outro,Não
83,Das Bones,75000000,Sem tripulação,Não tem,living,Outro,Não
84,Edward Weeble,480000000,Sem tripulação,Não tem,living,Outro,Não
85,Shanks,4048900000,Le Roux crew,Não tem,living,Outro,Não
86,Ben Beckmann,0,Le Roux crew,Não tem,living,Outro,Não
87,Lucky Roo,0,Le Roux crew,Não tem,living,Outro,Não
88,Yassop,0,Le Roux crew,Não tem,living,Outro,Não
89,Limejuice,0,Le Roux crew,Não tem,living,Outro,Não
90,Bonk Punch,0,Le Roux crew,Não tem,living,Outro,Não
91,Monster,0,Le Roux crew,Não tem,living,Outro,Não
92,Building Snake,0,Le Roux crew,Não tem,living,Outro,Não
93,Hongo,0,Le Roux crew,Não tem,living,Outro,Não
94,Howling Dab,0,Le Roux crew,Não tem,living,Outro,Não
95,Rockstar,94000000,Le Roux crew,Não tem,living,Outro,Não
96,Charlotte Linlin / Big Mom,4388000000,Big Mom's crew,Fruit of Souls,living,Outro,Não
97,Charlotte Dent-de-chien,1057000000,Big Mom's crew,Glutinous Rice Fruit,living,Outro,Não
98,Charlotte Smoothie,932000000,Big Mom's crew,Horse Fruit,living,Outro,Não
99,Charlotte Cracker,860000000,Big Mom's crew,Cookie Fruit,living,Outro,Não
100,Charlotte Slurp,700000000,Big Mom's crew,Fruit de la Léchouille,living,Outro,Não
101,Charlotte Daifuku,300000000,Big Mom's crew,Fruit of the Lamp,living,Outro,Não
102,Charlotte Oven,300000000,Big Mom's crew,Fruit of Heat,living,Outro,Não
103,Charlotte Amande,0,Big Mom's crew,Não tem,living,Outro,Não
104,Charlotte Opéra,0,Big Mom's crew,Fruit de la Crème,living,Outro,Não
105,Charlotte Brûlée,0,Big Mom's crew,Fruit of the Mirror,living,Outro,Não
106,Charlotte Mont d’Or,120000000,Big Mom's crew,Fruit of the Book,living,Outro,Não
107,Charlotte Galette,0,Big Mom's crew,Butter Fruit,living,Outro,Não
108,Charlotte Snack,600000000,Big Mom's crew,Não tem,living,Outro,Não
109,Charlotte Pudding,0,Big Mom's crew,Fruit of Memories,living,Outro,Não
110,Charlotte Flampée,0,Big Mom's crew,Não tem,living,Outro,Não
111,Charlotte Compote,0,Big Mom's crew,Não tem,living,Outro,Não
112,Charlotte Mondé,0,Big Mom's crew,Não tem,living,Outro,Não
113,Charlotte Hachée,0,Big Mom's crew,Não tem,living,Outro,Não
114,Charlotte Effilée,0,Big Mom's crew,Não tem,living,Outro,Não
115,Charlotte Counter,0,Big Mom's crew,Não tem,living,Outro,Não
116,Charlotte Cadenza,0,Big Mom's crew,Não tem,living,Outro,Não
117,Charlotte Cabaletta,0,Big Mom's crew,Não tem,living,Outro,Não
118,Charlotte Gala,0,Big Mom's crew,Não tem,living,Outro,Não
119,Charlotte Angel,0,Big Mom's crew,Não tem,living,Outro,Não
120,Charlotte Crème,0,Big Mom's crew,Não tem,living,Outro,Não
121,Charlotte Zuccoto,0,Big Mom's crew,Não tem,living,Outro,Não
122,Charlotte Broyée,0,Big Mom's crew,Não tem,living,Outro,Não
123,Charlotte Nusstorte,0,Big Mom's crew,Não tem,living,Outro,Não
124,Charlotte Basskarte,0,Big Mom's crew,Não tem,living,Outro,Não
125,Charlotte Dosmarché,0,Big Mom's crew,Não tem,living,Outro,Não
126,Charlotte Noisette,0,Big Mom's crew,Não tem,living,Outro,Não
127,Charlotte Moscato,0,Big Mom's crew,Não tem,living,Outro,Não
128,Charlotte Mash,0,Big Mom's crew,Não tem,living,Outro,Não
129,Charlotte Corn Starch,0,Big Mom's crew,Não tem,living,Outro,Não
130,Charlotte Compo,0,Big Mom's crew,Não tem,living,Outro,Não
131,Charlotte Laurin,0,Big Mom's crew,Não tem,living,Outro,Não
132,Charlotte Mozart,0,Big Mom's crew,Não tem,living,Outro,Não
133,Charlotte Marnier,0,Big Mom's crew,Não tem,living,Outro,Não
134,Charlotte High-Fat,0,Big Mom's crew,Não tem,living,Outro,Não
135,Charlotte Tablet,0,Big Mom's crew,Não tem,living,Outro,Não
136,Charlotte Citron,0,Big Mom's crew,Não tem,living,Outro,Não
137,Charlotte Cannelle,0,Big Mom's crew,Não tem,living,Outro,Não
138,Charlotte Saint-Marc,0,Big Mom's crew,Não tem,living,Outro,Não
139,Charlotte Basans,0,Big Mom's crew,Não tem,living,Outro,Não
140,Charlotte Mélisée,0,Big Mom's crew,Não tem,living,Outro,Não
141,Charlotte Dacquoise,0,Big Mom's crew,Não tem,living,Outro,Não
142,Charlotte Poire,0,Big Mom's crew,Não tem,living,Outro,Não
143,Charlotte Bavarois,0,Big Mom's crew,Não tem,living,Outro,Não
144,Charlotte Prim,0,Big Mom's crew,Não tem,living,Outro,Não
145,Charlotte Kanten,0,Big Mom's crew,Não tem,living,Outro,Não
146,Charlotte Kato,0,Big Mom's crew,Não tem,living,Outro,Não
147,Charlotte Montb,0,Big Mom's crew,Não tem,living,Outro,Não
148,Charlotte Chiboust,0,Big Mom's crew,Não tem,living,Outro,Não
149,Charlotte Mobile,0,Big Mom's crew,Não tem,living,Outro,Não
150,Charlotte Marble,0,Big Mom's crew,Não tem,living,Outro,Não
151,Charlotte Mucre,0,Big Mom's crew,Não tem,living,Outro,Não
152,Charlotte Mapple,0,Big Mom's crew,Não tem,living,Outro,Não
153,Charlotte Brownie,0,Big Mom's crew,Não tem,living,Outro,Não
